symbol,timeframe,open_time_utc,close_time_utc,open_time_et,close_time_et,trading_day,open,high,low,close,volume,range,one_third,level_1,level_2_middle,level_3_high_average
NVDA,15M,2026-09-22T17:30:00+00:00,2026-09-22T17:45:00+00:00,2026-09-22T13:30:00-04:00,2026-09-22T13:45:00-04:00,2026-09-22,229.47000122070312,229.54739379882812,228.92999267578125,228.9600067138672,1636266,0.617401123046875,0.20580037434895834,229.13579305013022,229.34159342447919,229.54739379882815
NVDA,15M,2026-09-22T17:45:00+00:00,2026-09-22T18:00:00+00:00,2026-09-22T13:45:00-04:00,2026-09-22T14:00:00-04:00,2026-09-22,228.95339965820312,229.25,228.74110412597656,229.14019775390625,1814864,0.5088958740234375,0.1696319580078125,228.91073608398438,229.0803680419922,229.25
NVDA,15M,2026-09-22T18:00:00+00:00,2026-09-22T18:15:00+00:00,2026-09-22T14:00:00-04:00,2026-09-22T14:15:00-04:00,2026-09-22,229.13499450683594,229.41000366210938,228.86000061035156,229.16299438476562,1613775,0.5500030517578125,0.1833343505859375,229.0433349609375,229.22666931152344,229.41000366210938
NVDA,15M,2026-09-22T18:15:00+00:00,2026-09-22T18:30:00+00:00,2026-09-22T14:15:00-04:00,2026-09-22T14:30:00-04:00,2026-09-22,229.16000366210938,229.52000427246094,229.1475067138672,229.42999267578125,1329464,0.37249755859375,0.12416585286458333,229.27167256673178,229.39583841959637,229.52000427246097
NVDA,15M,2026-09-22T18:30:00+00:00,2026-09-22T18:45:00+00:00,2026-09-22T14:30:00-04:00,2026-09-22T14:45:00-04:00,2026-09-22,229.43499755859375,229.52000427246094,229.17010498046875,229.48500061035156,1283012,0.3498992919921875,0.11663309733072917,229.28673807779947,229.4033711751302,229.5200042724609
NVDA,15M,2026-09-22T18:45:00+00:00,2026-09-22T19:00:00+00:00,2026-09-22T14:45:00-04:00,2026-09-22T15:00:00-04:00,2026-09-22,229.49000549316406,229.58999633789062,229.25,229.30999755859375,1386813,0.339996337890625,0.11333211263020833,229.36333211263022,229.47666422526044,229.58999633789065
NVDA,15M,2026-09-22T19:00:00+00:00,2026-09-22T19:15:00+00:00,2026-09-22T15:00:00-04:00,2026-09-22T15:15:00-04:00,2026-09-22,229.30999755859375,229.7100067138672,229.1699981689453,229.5500030517578,1856697,0.540008544921875,0.18000284830729166,229.3500010172526,229.53000386555988,229.71000671386716
NVDA,15M,2026-09-22T19:15:00+00:00,2026-09-22T19:30:00+00:00,2026-09-22T15:15:00-04:00,2026-09-22T15:30:00-04:00,2026-09-22,229.5399932861328,229.80499267578125,229.44000244140625,229.6885986328125,2652382,0.364990234375,0.12166341145833333,229.5616658528646,229.68332926432294,229.80499267578128
NVDA,15M,2026-09-22T19:30:00+00:00,2026-09-22T19:45:00+00:00,2026-09-22T15:30:00-04:00,2026-09-22T15:45:00-04:00,2026-09-22,229.67999267578125,229.75999450683594,229.1699981689453,229.19000244140625,2125713,0.589996337890625,0.19666544596354166,229.36666361490884,229.56332906087238,229.7599945068359
NVDA,15M,2026-09-22T19:45:00+00:00,2026-09-22T20:00:00+00:00,2026-09-22T15:45:00-04:00,2026-09-22T16:00:00-04:00,2026-09-22,229.17999267578125,229.9199981689453,228.60000610351562,228.8300018310547,6342728,1.3199920654296875,0.4399973551432292,229.04000345865884,229.48000081380206,229.91999816894528
NVDA,1H,2026-09-21T16:30:00+00:00,2026-09-21T17:30:00+00:00,2026-09-21T12:30:00-04:00,2026-09-21T13:30:00-04:00,2026-09-21,225.59500122070312,227.24000549316406,225.59500122070312,227.1999969482422,10793515,1.6450042724609375,0.5483347574869791,226.1433359781901,226.69167073567706,227.24000549316403
NVDA,1H,2026-09-21T17:30:00+00:00,2026-09-21T18:30:00+00:00,2026-09-21T13:30:00-04:00,2026-09-21T14:30:00-04:00,2026-09-21,227.19000244140625,227.6699981689453,226.7532958984375,227.44000244140625,8568223,0.9167022705078125,0.3055674235026042,227.0588633219401,227.3644307454427,227.66999816894528
NVDA,1H,2026-09-21T18:30:00+00:00,2026-09-21T19:30:00+00:00,2026-09-21T14:30:00-04:00,2026-09-21T15:30:00-04:00,2026-09-21,227.44000244140625,228.5,227.22999572753906,227.39500427246094,10222710,1.2700042724609375,0.4233347574869792,227.65333048502603,228.076665242513,228.49999999999997
NVDA,1H,2026-09-21T19:30:00+00:00,2026-09-21T20:30:00+00:00,2026-09-21T15:30:00-04:00,2026-09-21T16:30:00-04:00,2026-09-21,227.39999389648438,227.67999267578125,226.94000244140625,227.25,9743315,0.739990234375,0.24666341145833334,227.1866658528646,227.43332926432294,227.67999267578128
NVDA,1H,2026-09-22T13:30:00+00:00,2026-09-22T14:30:00+00:00,2026-09-22T09:30:00-04:00,2026-09-22T10:30:00-04:00,2026-09-22,226.91000366210938,229.60000610351562,226.5,228.22999572753906,23815783,3.100006103515625,1.0333353678385417,227.53333536783853,228.56667073567706,229.6000061035156
NVDA,1H,2026-09-22T14:30:00+00:00,2026-09-22T15:30:00+00:00,2026-09-22T10:30:00-04:00,2026-09-22T11:30:00-04:00,2026-09-22,228.22000122070312,229.11000061035156,227.63999938964844,228.81500244140625,10803332,1.470001220703125,0.4900004069010417,228.12999979654947,228.6200002034505,229.11000061035153
NVDA,1H,2026-09-22T15:30:00+00:00,2026-09-22T16:30:00+00:00,2026-09-22T11:30:00-04:00,2026-09-22T12:30:00-04:00,2026-09-22,228.80999755859375,229.07000732421875,228.16000366210938,228.67999267578125,6586836,0.910003662109375,0.3033345540364583,228.46333821614584,228.7666727701823,229.07000732421878
NVDA,1H,2026-09-22T16:30:00+00:00,2026-09-22T17:30:00+00:00,2026-09-22T12:30:00-04:00,2026-09-22T13:30:00-04:00,2026-09-22,228.6750030517578,229.97999572753906,228.59500122070312,229.47000122070312,8029657,1.3849945068359375,0.4616648356119792,229.0566660563151,229.51833089192706,229.97999572753903
NVDA,1H,2026-09-22T17:30:00+00:00,2026-09-22T18:30:00+00:00,2026-09-22T13:30:00-04:00,2026-09-22T14:30:00-04:00,2026-09-22,229.47000122070312,229.54739379882812,228.74110412597656,229.42999267578125,6394369,0.8062896728515625,0.2687632242838542,229.0098673502604,229.27863057454425,229.5473937988281
NVDA,1H,2026-09-22T18:30:00+00:00,2026-09-22T19:30:00+00:00,2026-09-22T14:30:00-04:00,2026-09-22T15:30:00-04:00,2026-09-22,229.43499755859375,229.80499267578125,229.1699981689453,229.6885986328125,7178904,0.6349945068359375,0.21166483561197916,229.38166300455728,229.59332784016925,229.80499267578122
NVDA,30M,2026-09-22T15:00:00+00:00,2026-09-22T15:30:00+00:00,2026-09-22T11:00:00-04:00,2026-09-22T11:30:00-04:00,2026-09-22,228.30999755859375,229.11000061035156,228.1300048828125,228.81500244140625,5326317,0.9799957275390625,0.3266652425130208,228.45667012532553,228.78333536783856,229.1100006103516
NVDA,30M,2026-09-22T15:30:00+00:00,2026-09-22T16:00:00+00:00,2026-09-22T11:30:00-04:00,2026-09-22T12:00:00-04:00,2026-09-22,228.80999755859375,228.81689453125,228.16000366210938,228.49000549316406,3514512,0.656890869140625,0.218963623046875,228.37896728515625,228.59793090820312,228.81689453125
NVDA,30M,2026-09-22T16:00:00+00:00,2026-09-22T16:30:00+00:00,2026-09-22T12:00:00-04:00,2026-09-22T12:30:00-04:00,2026-09-22,228.49000549316406,229.07000732421875,228.30999755859375,228.67999267578125,3072324,0.760009765625,0.2533365885416667,228.5633341471354,228.81667073567706,229.07000732421872
NVDA,30M,2026-09-22T16:30:00+00:00,2026-09-22T17:00:00+00:00,2026-09-22T12:30:00-04:00,2026-09-22T13:00:00-04:00,2026-09-22,228.6750030517578,229.38999938964844,228.59500122070312,229.3699951171875,3400726,0.7949981689453125,0.2649993896484375,228.86000061035156,229.125,229.38999938964844
NVDA,30M,2026-09-22T17:00:00+00:00,2026-09-22T17:30:00+00:00,2026-09-22T13:00:00-04:00,2026-09-22T13:30:00-04:00,2026-09-22,229.3699951171875,229.97999572753906,229.3300018310547,229.47000122070312,4628931,0.649993896484375,0.21666463216145834,229.54666646321616,229.76333109537762,229.9799957275391
NVDA,30M,2026-09-22T17:30:00+00:00,2026-09-22T18:00:00+00:00,2026-09-22T13:30:00-04:00,2026-09-22T14:00:00-04:00,2026-09-22,229.47000122070312,229.54739379882812,228.74110412597656,229.14019775390625,3451130,0.8062896728515625,0.2687632242838542,229.0098673502604,229.27863057454425,229.5473937988281
NVDA,30M,2026-09-22T18:00:00+00:00,2026-09-22T18:30:00+00:00,2026-09-22T14:00:00-04:00,2026-09-22T14:30:00-04:00,2026-09-22,229.13499450683594,229.52000427246094,228.86000061035156,229.42999267578125,2943239,0.660003662109375,0.220001220703125,229.0800018310547,229.3000030517578,229.52000427246094
NVDA,30M,2026-09-22T18:30:00+00:00,2026-09-22T19:00:00+00:00,2026-09-22T14:30:00-04:00,2026-09-22T15:00:00-04:00,2026-09-22,229.43499755859375,229.58999633789062,229.17010498046875,229.30999755859375,2669825,0.419891357421875,0.13996378580729166,229.31006876627603,229.45003255208331,229.5899963378906
NVDA,30M,2026-09-22T19:00:00+00:00,2026-09-22T19:30:00+00:00,2026-09-22T15:00:00-04:00,2026-09-22T15:30:00-04:00,2026-09-22,229.30999755859375,229.80499267578125,229.1699981689453,229.6885986328125,4509079,0.6349945068359375,0.21166483561197916,229.38166300455728,229.59332784016925,229.80499267578122
NVDA,30M,2026-09-22T19:30:00+00:00,2026-09-22T20:00:00+00:00,2026-09-22T15:30:00-04:00,2026-09-22T16:00:00-04:00,2026-09-22,229.67999267578125,229.9199981689453,228.60000610351562,228.8300018310547,8468441,1.3199920654296875,0.4399973551432292,229.04000345865884,229.48000081380206,229.91999816894528
NVDA,4H,2026-09-16T13:30:00+00:00,2026-09-16T17:30:00+00:00,2026-09-16T09:30:00-04:00,2026-09-16T13:30:00-04:00,2026-09-16,213.72000122070312,216.75999450683594,213.30999755859375,215.44000244140625,45332293,3.4499969482421875,1.1499989827473958,214.45999654134116,215.60999552408856,216.75999450683597
NVDA,4H,2026-09-16T17:30:00+00:00,2026-09-16T20:00:00+00:00,2026-09-16T13:30:00-04:00,2026-09-16T16:00:00-04:00,2026-09-16,215.4499969482422,216.44500732421875,212.5,213.91000366210938,33753145,3.94500732421875,1.31500244140625,213.81500244140625,215.1300048828125,216.44500732421875
